GeranCellId,Parameter,ext_Value,int_Value,e_NodeId,i_NodeId,equal,IsNumeric
CGCDG67C,bsRxSuff,105,150,CBEC2,CBEB3,False,False
CGCDG28C,bsRxSuff,105,150,CBEC2,CBEB3,False,False
CGCDG53B,bsRxSuff,105,150,CBEC2,CBEB3,False,False
CGCDG53A,bsRxSuff,105,150,CBEC2,CBEB3,False,False
CGBYZ16B,bsRxSuff,105,150,CBEC2,CBEB3,False,False
CGBYZ78B,bsRxSuff,105,150,CBEC2,CBEB3,False,False
LXRGN10C,bsRxSuff,105,150,DBEA2,CBEA5,False,False
DA5IF4B,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5XY2B,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5704C,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5W39A,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5BD7B,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5454B,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5454A,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5136A,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5NQ5A,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5IF4A,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5RB6B,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5YK0B,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5ZD8B,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5QU8B,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5704B,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5BN1C,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5YK0C,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5C52B,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5C19A,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5136C,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5A6TB,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5BN1B,bsRxSuff,105,150,DBEA4,DBEA5,False,False
